post_id,score,top_comment_id,verdict,date,time
qkntpa,35595,hixk60m,NTA,2021-11-01,21:06:27
j2tnca,35666,g77prh8,NTA,2020-09-30,20:08:01
hukoub,35461,fynko0s,NTA,2020-07-20,12:51:21
wgud9p,35760,ij1pjns,NTA,2022-08-05,12:35:25
e9bilu,35576,fahuszt,NAH,2019-12-11,19:09:58
k80bdn,35268,gey1gq7,NTA,2020-12-06,19:33:40
q2vfsf,35503,hfnzzr9,NTA,2021-10-06,22:46:27
136imou,35178,jior9zq,NTA,2023-05-03,12:06:12
ii4zpu,35320,g34imq4,NTA,2020-08-28,10:58:33
xicqfv,35337,ip2ctno,NTA,2022-09-19,13:54:38
ebjcyh,35091,fb5vacp,NTA,2019-12-16,18:55:09
chvyp2,34798,euyg48n,ESH,2019-07-26,00:39:38
ux172q,34852,i9v4mo4,NTA,2022-05-24,21:11:06
rsnfcq,34971,hqnwsq8,NTA,2021-12-31,06:27:13
cccdat,34705,etluz5q,NTA,2019-07-12,15:33:20
i34mdp,34575,g094fd5,NTA,2020-08-03,20:15:42
109jid0,34530,j3yn37y,NTA,2023-01-11,23:28:02
gap4oq,34472,fp1dqiv,YTA,2020-04-30,04:41:47
d6cfsz,34386,f0rrzxp,YTA,2019-09-19,11:05:08
b22cxm,34442,eipsfkk,NAH,2019-03-17,06:25:12
zux4ny,34478,j1lrcan,NTA,2022-12-25,12:20:41
okzq0t,34360,h5b5t12,NTA,2021-07-15,19:13:23
kciiif,34268,gfqvy0u,NTA,2020-12-13,20:51:38
iaznff,34280,g1s2xqk,NTA,2020-08-16,20:23:05
jad6d7,34117,g8q18iu,NTA,2020-10-13,13:17:00
xly6yk,34210,ipljc1a,NTA,2022-09-23,13:52:12
devz7y,34156,f2ze4fj,NTA,2019-10-08,06:05:14
efz1kb,34053,fc3n7hv,NTA,2019-12-26,18:35:45
dk2rkt,34077,f4a1e3t,ESH,2019-10-19,11:53:55
ca7bdz,34042,et7b2zd,YTA,2019-07-07,14:20:33
rijyk1,34034,hoximfq,NTA,2021-12-17,15:33:20
dcb1vq,33965,f2725xj,NTA,2019-10-02,14:35:46
dwrlls,33899,f7kxwtg,NTA,2019-11-15,14:35:28
xxznvl,33865,irekb6q,NTA,2022-10-07,13:49:42
xe09ej,33678,iodyuhe,NTA,2022-09-14,12:07:27
15hbw8d,33784,junk6ty,NTA,2023-08-03,18:29:32
bp8v29,33857,enq9ogq,NTA,2019-05-16,05:40:20
i79ikq,33698,g10xskw,NTA,2020-08-10,17:40:55
b7oc7h,33755,ejt1rga,NTA,2019-03-31,14:29:51
s3xcw4,33588,hsngv3i,NTA,2022-01-14,17:10:13
ojizk5,33512,h51v1ot,NTA,2021-07-13,16:18:33
evqd98,33621,ffxeufo,NTA,2020-01-29,17:55:20
t2z9oa,33510,hyp82eg,NTA,2022-02-27,22:12:02
briguv,33520,eoe3v65,NTA,2019-05-22,01:08:01
16pft48,33445,k1qls8l,NTA,2023-09-22,17:13:37
10sr0wi,33484,j72xt8a,NTA,2023-02-03,18:12:41
gkgzgo,33505,fqr6t6m,NTA,2020-05-15,20:35:57
oxdmyp,33444,h7lri1r,NTA,2021-08-03,21:39:48
v4350c,33351,ib1xjr1,NTA,2022-06-03,16:26:13
lqk99w,33288,gogrwjr,NTA,2021-02-23,14:56:47
efmpvl,33345,fc1a8z4,ESH,2019-12-25,22:21:44
cmvrbe,33401,ew5oqa2,YTA,2019-08-06,20:29:03
qgxbzw,33198,hi8yh7q,NTA,2021-10-27,14:00:03
zzc58y,33162,j2apa5x,NTA,2022-12-30,21:31:43
w631jl,33172,ihbea9x,NTA,2022-07-23,12:36:54
hk5vqi,33038,fwqpfz4,NTA,2020-07-02,21:29:33
tuydop,33016,i36a95d,NTA,2022-04-03,02:10:05
ser504,32937,hukxxhv,NTA,2022-01-28,13:44:37
eejyso,32969,fbu6heu,NTA,2019-12-23,12:22:44
e8b87k,32896,fabjb75,NTA,2019-12-09,15:17:25
yzqvu1,32890,ix1ifcl,NTA,2022-11-20,00:46:44
k9husr,32837,gf4ceio,NTA,2020-12-09,01:25:17
gnzjp6,32822,frd2lcr,NTA,2020-05-21,16:02:28
jupcwq,32751,gcelfa8,NTA,2020-11-15,17:14:37
x74x76,32718,inag9pn,NTA,2022-09-06,08:18:23
i3t3vb,32660,g0e23js,NTA,2020-08-04,22:17:25
i6mee1,32620,g0x6udy,NTA,2020-08-09,16:40:54
oll5ex,32698,h5f29a7,NTA,2021-07-16,17:05:54
uhde21,32690,i757ee6,NTA,2022-05-03,10:52:05
uaxvzp,32665,i60iwmh,NTA,2022-04-24,16:01:20
jybw2h,32468,gd2m7wh,NTA,2020-11-21,14:46:59
logumz,32611,go5pj73,NTA,2021-02-20,21:12:19
ucbdu0,32488,i699z3s,NTA,2022-04-26,12:26:17
15kcdv7,32434,jv4rgiv,NTA,2023-08-07,06:23:51
vz84rj,32389,ig6sebr,NTA,2022-07-14,22:20:58
ulwow7,32376,i7y1g30,NTA,2022-05-09,17:38:21
ji3gw3,32373,ga4ic62,ESH,2020-10-25,23:17:32
giww2y,32364,fqh5svz,NTA,2020-05-13,11:03:14
btvqmi,32353,ep37kai,NTA,2019-05-28,04:36:59
if3rmj,32248,g2l2ex3,NTA,2020-08-23,14:06:57
chb37s,32378,eur3hn1,ESH,2019-07-24,17:20:05
wg3euz,32340,iix9ml1,NTA,2022-08-04,14:59:56
n67i84,32232,gx6ssqm,NTA,2021-05-06,13:39:35
vu7te5,32211,ifbvtvo,NTA,2022-07-08,10:43:20
hzyy7b,32182,fzm08qv,NTA,2020-07-29,11:19:28
bkyn9c,32202,emkc0pt,YTA,2019-05-05,14:57:32
hvzvwg,32133,fywhhea,NTA,2020-07-22,19:06:45
11rflzk,31911,jc882hb,NTA,2023-03-15,00:14:00
cmcou6,31890,ew1g6g3,NTA,2019-08-05,15:50:44
qh81za,31885,hib18h6,NTA,2021-10-27,22:14:58
cyt2nl,31811,eyu7ro9,NTA,2019-09-02,18:40:40
ysezdy,31854,ivynl6e,NTA,2022-11-11,16:16:25
ef49r2,31764,fby6dov,NTA,2019-12-24,17:25:07
otagcv,31763,h6ty5cg,NTA,2021-07-28,13:58:52
